id.orig_h,count
162.243.133.35,4
162.243.133.38,13
162.243.133.43,4
162.243.133.47,4
162.243.134.10,4
162.243.134.13,1
162.243.134.17,3
162.243.134.20,4
162.243.135.17,1
162.243.135.22,3
162.243.135.29,4
162.243.135.31,3
162.243.135.9,1
162.243.136.12,4
162.243.136.22,12
162.243.136.35,12
162.243.136.41,5
162.243.136.62,12
162.243.136.79,4
162.243.136.8,1
162.243.137.10,4
162.243.137.16,16
162.243.138.46,3
162.243.139.10,1
162.243.139.18,1
162.243.139.19,7
162.243.139.9,4
162.243.140.28,4
162.243.140.31,1
162.243.140.32,7
162.243.141.12,1
162.243.141.20,6
162.243.141.22,12
162.243.141.24,3
162.243.141.26,1
162.243.141.30,3
162.243.142.16,1
162.243.142.37,16
162.243.142.57,3
162.243.143.39,12
162.243.143.48,12
162.243.143.53,4
162.243.143.60,1
162.243.144.27,8
162.243.144.29,4
162.243.144.4,8
162.243.144.6,4
162.243.144.8,3
162.243.144.9,4
162.243.145.16,1
162.243.145.17,1
162.243.145.44,3
162.243.145.45,16
162.243.145.54,4
162.243.146.13,1
162.243.146.15,3
162.243.146.19,1
162.243.146.29,4
162.243.146.50,3
162.243.147.17,4
162.243.147.4,4
162.243.148.23,4
162.243.148.62,1
162.243.149.11,3
162.243.149.26,4
162.243.150.10,8
162.243.150.12,1
162.243.150.15,4
162.243.150.8,12
162.243.150.9,4
162.243.151.15,2
162.243.151.26,4
162.243.151.35,1
162.243.151.9,4
162.243.152.12,1
162.243.152.15,3
162.243.152.27,4
162.243.152.28,4
162.243.152.45,3
162.243.152.47,3
162.246.16.194,3
162.247.23.22,2
162.33.178.240,66
162.72.52.150,1
163.125.138.80,1
163.172.134.179,4
163.172.31.140,1
163.53.82.150,1
164.164.119.131,10
164.90.140.44,7
164.90.167.180,1
164.90.193.91,2
164.90.199.206,3
164.90.202.89,1
164.92.105.7,3
164.92.117.229,14
164.92.135.38,3
164.92.139.181,8
164.92.218.142,1
164.92.232.89,4
165.154.119.15,3
165.154.119.37,24
165.154.119.44,12
165.154.119.50,1
165.154.119.8,4
165.154.134.201,4
165.154.134.208,4
165.154.172.85,4
165.154.36.96,21
165.173.1.140,1
165.22.109.216,1
165.22.160.197,2
165.22.175.13,2
165.22.230.33,2
165.22.47.52,3
165.22.60.26,6
165.227.136.109,2
165.227.147.215,6
165.227.16.153,3
165.227.172.104,2
165.227.180.205,1
165.227.224.158,10
165.227.234.7,1
165.227.235.24,1
165.227.4.23,2
165.227.47.218,11
165.227.54.206,4
165.227.55.4,6
165.227.56.221,2
165.227.62.247,3
165.227.96.35,5
165.232.104.65,10
165.232.168.206,4
165.232.38.198,1
165.232.42.250,7
165.232.45.71,1
